	N=9	N=8	N=7	N=6	N=5	N=4	N=3	N=2	N=1
Thita0	0.687495622609975	0.698632186546	0.714746829316	0.744368434987	0.794360756	0.868935983404	0.95554413706	0.98106213408	0.901965077436
Thita1	1.1174774445799938	1.1006764352	1.04758375192	0.90300095105	0.576393037762	-0.0610731549758	-1.12143178644	-2.18300152246	-1.66865213378
Thita2	-3.1144531197617877	-3.28042798319	-3.48997325357	-3.76273704052	-4.04121395294	-4.0846355124	-3.12569996751	0.51465432937	 
Thita3	-2.410533796337026	-2.47940282764	-2.50248478949	-2.40646365065	-1.96184049602	-0.626787334582	2.7983331744	 	 
Thita4	-1.0378114882202116	-0.946590570797	-0.714647370956	-0.180820666298	1.01678303693	3.62330650029	 	 	 
Thita5	0.07093080029257584	0.320863383858	0.790323256566	1.71148764237	3.53854936772	 	 	 	 
Thita6	0.8276211269386134	1.21561299101	1.88396449886	3.11991622744	 	 	 	 	 
Thita7	1.3091729830654457	1.81101639054	2.63898214879	 	 	 	 	 	 
Thita8	1.6004519521796607	2.19366001482	 	 	 	 	 	 	 
Thita9	1.7657941221392823	 	 	 	 	 	 	 	 
